item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD061_high,HD061,,,desfotocopiável,que não é fotocopiável,high_des,neg,desfotocopiável,-,fotocopiável,fotocopiar,ver,2,0.0637395957061184,0.3010299956639812,1.804409304459981,10,high,correct,new_high_des,target_high_des,A,A2,2,,1,adjacent_zipf_pair
HD062_low,HD062,,,descentrifugável,que pode ser descentrifugado,high_des,neg,descentrifugável,-,centrifugável,centrifugar,ver,4,0.1274791914122368,0.6020599913279624,2.105439300123962,11,low,incorrect,new_high_des,target_high_des,A,A2,2,,1,adjacent_zipf_pair
HD063_high,HD063,,,desafricanizável,que não é africanizável,high_des,neg,desafricanizável,,africanizável,africanizar,ver,12,0.3824375742367104,1.0791812460476249,2.5825605548436243,11,high,correct,new_high_des,target_high_des,A,A2,2,,2,adjacent_zipf_pair
HD064_low,HD064,,,desradiografável,que pode ser desradiografado,high_des,neg,desradiografável,,radiografável,radiografar,ver,13,0.4143073720897696,1.1139433523068367,2.6173226611028366,11,low,incorrect,new_high_des,target_high_des,A,A2,2,,2,adjacent_zipf_pair
HD065_high,HD065,,,destostável,que não é tostável,high_des,neg,destostável,,tostável,tostar,ver,15,0.478046967795888,1.1760912590556813,2.679470567851681,6,high,correct,new_high_des,target_high_des,A,A2,2,,3,adjacent_zipf_pair
HD066_low,HD066,,,desacanhável,que pode ser desacanhado,high_des,neg,desacanhável,,acanhável,acanhar,ver,24,0.7648751484734208,1.380211241711606,2.8835905505076056,7,low,incorrect,new_high_des,target_high_des,A,A2,2,,3,adjacent_zipf_pair
HD068_low,HD068,,,desabonável,que pode ser desabonado,high_des,neg,desabonável,,abonável,abonar,ver,28,0.8923543398856576,1.4471580313422192,2.950537340138219,6,low,incorrect,new_high_des,target_high_des,A,A2,2,,4,adjacent_zipf_pair
HD069_high,HD069,,,desrastreável,que não é rastreável,high_des,neg,desrastreável,,rastreável,rastrear,ver,80,2.549583828244736,1.9030899869919435,3.4064692957879434,8,high,correct,new_high_des,target_high_des,A,A2,2,,4,adjacent_zipf_pair
HD071_low,HD071,,,desaglutinável,que pode ser desaglutinado,high_des,neg,desaglutinável,-,aglutinável,aglutinar,ver,81,2.581453626097795,1.9084850188786497,3.4118643276746496,9,low,incorrect,new_high_des,target_high_des,A,A2,2,,5,adjacent_zipf_pair
HD073_high,HD073,,,desquantificável,que não é quantificável,high_des,neg,desquantificável,,quantificável,quantificar,ver,89,2.836412008922269,1.9493900066449128,3.4527693154409125,11,high,correct,new_high_des,target_high_des,A,A2,2,,5,adjacent_zipf_pair
HD076_low,HD076,,,desuniformizável,que pode ser desuniformizado,high_des,neg,desuniformizável,,uniformizável,uniformizar,ver,123,3.9199851359262814,2.089905111439398,3.5932844202353977,11,low,incorrect,new_high_des,target_high_des,A,A2,2,,6,adjacent_zipf_pair
HD067_high,HD067,,,desconsolável,que não é consolável,high_des,neg,desconsolável,,consolável,consolar,ver,143,4.557381092987465,2.155336037465062,3.6587153462610615,8,high,correct,new_high_des,target_high_des,A,A2,2,,6,adjacent_zipf_pair
HD079_high,HD079,,,dessondável,que não é sondável,high_des,neg,dessondável,-,sondável,sondar,ver,168,5.354126039313946,2.225309281725863,3.7286885905218625,6,high,correct,new_high_des,target_high_des,A,A2,2,,7,adjacent_zipf_pair
HD081_low,HD081,,,desambiguável,que pode ser desambiguado,high_des,neg,desambiguável,,ambiguável,ambíguo,adj,218,6.947615931966905,2.3384564936046046,3.8418358024006043,7,low,incorrect,new_high_des,target_high_des,A,A2,2,,7,adjacent_zipf_pair
